"filename", "language", "JavaScript JSX", "JavaScript", "CSS", "JSON", "HTML", "XML", "comment", "blank", "total"
"c:\Users\sunil\Documents\GitHub\msup\db.json", "JSON", 0, 0, 0, 137, 0, 0, 0, 0, 137
"c:\Users\sunil\Documents\GitHub\msup\db_master.json", "JSON", 0, 0, 0, 137, 0, 0, 0, 0, 137
"c:\Users\sunil\Documents\GitHub\msup\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\sunil\Documents\GitHub\msup\package-lock.json", "JSON", 0, 0, 0, 1789, 0, 0, 0, 1, 1790
"c:\Users\sunil\Documents\GitHub\msup\package.json", "JSON", 0, 0, 0, 30, 0, 0, 0, 1, 31
"c:\Users\sunil\Documents\GitHub\msup\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\sunil\Documents\GitHub\msup\src\App.css", "CSS", 0, 0, 777, 0, 0, 0, 130, 238, 1145
"c:\Users\sunil\Documents\GitHub\msup\src\App.jsx", "JavaScript JSX", 34, 0, 0, 0, 0, 0, 6, 7, 47
"c:\Users\sunil\Documents\GitHub\msup\src\assets\alternates\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\sunil\Documents\GitHub\msup\src\backups\AppBU.jsx", "JavaScript JSX", 100, 0, 0, 0, 0, 0, 32, 32, 164
"c:\Users\sunil\Documents\GitHub\msup\src\backups\Home copy.jsx", "JavaScript JSX", 95, 0, 0, 0, 0, 0, 28, 25, 148
"c:\Users\sunil\Documents\GitHub\msup\src\backups\LoginSuccess copy.jsx", "JavaScript JSX", 33, 0, 0, 0, 0, 0, 10, 13, 56
"c:\Users\sunil\Documents\GitHub\msup\src\client.jsx", "JavaScript JSX", 4, 0, 0, 0, 0, 0, 0, 4, 8
"c:\Users\sunil\Documents\GitHub\msup\src\components\About.jsx", "JavaScript JSX", 40, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\sunil\Documents\GitHub\msup\src\components\AddResource.jsx", "JavaScript JSX", 218, 0, 0, 0, 0, 0, 27, 46, 291
"c:\Users\sunil\Documents\GitHub\msup\src\components\CourseBar.jsx", "JavaScript JSX", 29, 0, 0, 0, 0, 0, 1, 11, 41
"c:\Users\sunil\Documents\GitHub\msup\src\components\CourseData.jsx", "JavaScript JSX", 116, 0, 0, 0, 0, 0, 0, 0, 116
"c:\Users\sunil\Documents\GitHub\msup\src\components\CoursePage.jsx", "JavaScript JSX", 227, 0, 0, 0, 0, 0, 72, 94, 393
"c:\Users\sunil\Documents\GitHub\msup\src\components\ErrorPage.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\sunil\Documents\GitHub\msup\src\components\FloatBarBL.jsx", "JavaScript JSX", 42, 0, 0, 0, 0, 0, 3, 14, 59
"c:\Users\sunil\Documents\GitHub\msup\src\components\Header.jsx", "JavaScript JSX", 24, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\sunil\Documents\GitHub\msup\src\components\Home.jsx", "JavaScript JSX", 131, 0, 0, 0, 0, 0, 30, 46, 207
"c:\Users\sunil\Documents\GitHub\msup\src\components\LoginPage.jsx", "JavaScript JSX", 121, 0, 0, 0, 0, 0, 38, 45, 204
"c:\Users\sunil\Documents\GitHub\msup\src\components\LoginSuccess.jsx", "JavaScript JSX", 37, 0, 0, 0, 0, 0, 10, 14, 61
"c:\Users\sunil\Documents\GitHub\msup\src\components\ResourceCard.jsx", "JavaScript JSX", 120, 0, 0, 0, 0, 0, 28, 44, 192
"c:\Users\sunil\Documents\GitHub\msup\src\components\Resources.jsx", "JavaScript JSX", 17, 0, 0, 0, 0, 0, 1, 4, 22
"c:\Users\sunil\Documents\GitHub\msup\src\components\TagBar.jsx", "JavaScript JSX", 57, 0, 0, 0, 0, 0, 11, 22, 90
"c:\Users\sunil\Documents\GitHub\msup\src\components\TestModal.jsx", "JavaScript JSX", 42, 0, 0, 0, 0, 0, 3, 20, 65
"c:\Users\sunil\Documents\GitHub\msup\src\contexts\Auth copy.jsx", "JavaScript JSX", 27, 0, 0, 0, 0, 0, 3, 8, 38
"c:\Users\sunil\Documents\GitHub\msup\src\contexts\Auth.jsx", "JavaScript JSX", 6, 0, 0, 0, 0, 0, 6, 6, 18
"c:\Users\sunil\Documents\GitHub\msup\src\contexts\contextNotesForlatersntax.jsx", "JavaScript JSX", 2, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\sunil\Documents\GitHub\msup\src\main.jsx", "JavaScript JSX", 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\sunil\Documents\GitHub\msup\src\zRef.css", "CSS", 0, 0, 44, 0, 0, 0, 0, 4, 48
"c:\Users\sunil\Documents\GitHub\msup\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 1540, 5, 821, 2093, 13, 2, 440, 718, 5632
